Epoch:001  Avg_loss:0.043920  Acc_train:0.834444  Acc_test:0.830000
Epoch:002  Avg_loss:0.010641  Acc_train:0.933333  Acc_test:0.940000
Epoch:003  Avg_loss:0.031925  Acc_train:0.943333  Acc_test:0.970000
Epoch:004  Avg_loss:1.129803  Acc_train:0.935556  Acc_test:0.910000
Epoch:005  Avg_loss:2.980232  Acc_train:0.988889  Acc_test:1.000000
Epoch:006  Avg_loss:1.236759  Acc_train:0.992222  Acc_test:1.000000
Epoch:007  Avg_loss:1.01e-16  Acc_train:0.983333  Acc_test:1.000000
Epoch:008  Avg_loss:0.008283  Acc_train:0.993333  Acc_test:1.000000
Epoch:009  Avg_loss:2.220258  Acc_train:0.995556  Acc_test:1.000000
Epoch:010  Avg_loss:1.221837  Acc_train:0.981111  Acc_test:1.000000
Epoch:011  Avg_loss:1.01e-16  Acc_train:0.978889  Acc_test:1.000000
Epoch:012  Avg_loss:2.443766  Acc_train:0.994444  Acc_test:1.000000
Epoch:013  Avg_loss:0.003413  Acc_train:0.993333  Acc_test:1.000000
Epoch:014  Avg_loss:0.016289  Acc_train:0.991111  Acc_test:1.000000
Epoch:015  Avg_loss:1.01e-16  Acc_train:0.998889  Acc_test:1.000000
Epoch:016  Avg_loss:1.01e-16  Acc_train:0.998889  Acc_test:1.000000
Epoch:017  Avg_loss:1.01e-16  Acc_train:0.994444  Acc_test:1.000000
Epoch:018  Avg_loss:1.01e-16  Acc_train:0.997778  Acc_test:1.000000
Epoch:019  Avg_loss:1.01e-16  Acc_train:0.995556  Acc_test:1.000000
Epoch:020  Avg_loss:1.01e-16  Acc_train:0.998889  Acc_test:1.000000
Epoch:021  Avg_loss:0.002789  Acc_train:0.997778  Acc_test:1.000000
Epoch:022  Avg_loss:5.215395  Acc_train:0.998889  Acc_test:1.000000
Epoch:023  Avg_loss:1.01e-16  Acc_train:0.997778  Acc_test:1.000000
Epoch:024  Avg_loss:2.249872  Acc_train:0.998889  Acc_test:1.000000
Epoch:025  Avg_loss:1.01e-16  Acc_train:0.998889  Acc_test:1.000000
Epoch:026  Avg_loss:0.001184  Acc_train:0.998889  Acc_test:1.000000
Epoch:027  Avg_loss:4.470348  Acc_train:0.998889  Acc_test:1.000000
Epoch:028  Avg_loss:2.857394  Acc_train:0.998889  Acc_test:1.000000
Epoch:029  Avg_loss:1.490117  Acc_train:0.998889  Acc_test:1.000000
Epoch:030  Avg_loss:1.01e-16  Acc_train:0.998889  Acc_test:1.000000
Epoch:031  Avg_loss:4.470348  Acc_train:0.998889  Acc_test:1.000000
Epoch:032  Avg_loss:1.01e-16  Acc_train:0.998889  Acc_test:1.000000
Epoch:033  Avg_loss:1.361891  Acc_train:0.998889  Acc_test:1.000000
Epoch:034  Avg_loss:1.490117  Acc_train:0.998889  Acc_test:1.000000
Epoch:035  Avg_loss:1.01e-16  Acc_train:1.000000  Acc_test:1.000000
Epoch:036  Avg_loss:1.01e-16  Acc_train:0.998889  Acc_test:1.000000
Epoch:037  Avg_loss:1.195246  Acc_train:1.000000  Acc_test:1.000000
Epoch:038  Avg_loss:3.278251  Acc_train:0.998889  Acc_test:1.000000
Epoch:039  Avg_loss:6.407483  Acc_train:0.998889  Acc_test:1.000000
Epoch:040  Avg_loss:4.231862  Acc_train:1.000000  Acc_test:1.000000
Epoch:041  Avg_loss:1.01e-16  Acc_train:1.000000  Acc_test:1.000000
Epoch:042  Avg_loss:1.01e-16  Acc_train:1.000000  Acc_test:1.000000
Epoch:043  Avg_loss:5.808367  Acc_train:1.000000  Acc_test:1.000000
Epoch:044  Avg_loss:3.576273  Acc_train:1.000000  Acc_test:1.000000
Epoch:045  Avg_loss:1.01e-16  Acc_train:1.000000  Acc_test:1.000000
Epoch:046  Avg_loss:1.490117  Acc_train:1.000000  Acc_test:1.000000
Epoch:047  Avg_loss:1.100115  Acc_train:1.000000  Acc_test:1.000000
Epoch:048  Avg_loss:1.01e-16  Acc_train:1.000000  Acc_test:1.000000
Epoch:049  Avg_loss:2.980228  Acc_train:1.000000  Acc_test:1.000000
Epoch:050  Avg_loss:3.129240  Acc_train:1.000000  Acc_test:1.000000

