Epoch:001  Avg_loss:0.028420  Acc_train:0.763333  Acc_test:0.740000
Epoch:002  Avg_loss:0.024544  Acc_train:0.900000  Acc_test:0.900000
Epoch:003  Avg_loss:0.009945  Acc_train:0.855556  Acc_test:0.880000
Epoch:004  Avg_loss:0.028935  Acc_train:0.983333  Acc_test:0.970000
Epoch:005  Avg_loss:0.000720  Acc_train:0.970000  Acc_test:0.990000
Epoch:006  Avg_loss:1.164985  Acc_train:0.984444  Acc_test:1.000000
Epoch:007  Avg_loss:0.000913  Acc_train:0.985556  Acc_test:0.980000
Epoch:008  Avg_loss:0.022018  Acc_train:0.990000  Acc_test:1.000000
Epoch:009  Avg_loss:8.974730  Acc_train:0.993333  Acc_test:1.000000
Epoch:010  Avg_loss:0.000431  Acc_train:0.993333  Acc_test:1.000000
Epoch:011  Avg_loss:1.728523  Acc_train:0.992222  Acc_test:0.990000
Epoch:012  Avg_loss:6.213205  Acc_train:0.991111  Acc_test:0.990000
Epoch:013  Avg_loss:3.715802  Acc_train:0.994444  Acc_test:1.000000
Epoch:014  Avg_loss:2.093305  Acc_train:0.995556  Acc_test:1.000000
Epoch:015  Avg_loss:1.028176  Acc_train:0.991111  Acc_test:0.980000
Epoch:016  Avg_loss:4.262849  Acc_train:0.993333  Acc_test:0.990000
Epoch:017  Avg_loss:1.924695  Acc_train:0.994444  Acc_test:1.000000
Epoch:018  Avg_loss:1.145985  Acc_train:0.980000  Acc_test:0.980000
Epoch:019  Avg_loss:0.021187  Acc_train:0.995556  Acc_test:1.000000
Epoch:020  Avg_loss:3.054701  Acc_train:0.994444  Acc_test:1.000000
Epoch:021  Avg_loss:8.005925  Acc_train:0.993333  Acc_test:1.000000
Epoch:022  Avg_loss:2.271636  Acc_train:0.995556  Acc_test:1.000000
Epoch:023  Avg_loss:0.000211  Acc_train:0.986667  Acc_test:1.000000
Epoch:024  Avg_loss:7.450560  Acc_train:0.997778  Acc_test:1.000000
Epoch:025  Avg_loss:1.937150  Acc_train:0.995556  Acc_test:1.000000
Epoch:026  Avg_loss:1.550164  Acc_train:0.996667  Acc_test:1.000000
Epoch:027  Avg_loss:0.000629  Acc_train:0.984444  Acc_test:0.980000
Epoch:028  Avg_loss:1.162237  Acc_train:0.995556  Acc_test:1.000000
Epoch:029  Avg_loss:5.960464  Acc_train:0.996667  Acc_test:1.000000
Epoch:030  Avg_loss:4.470348  Acc_train:0.994444  Acc_test:1.000000
Epoch:031  Avg_loss:4.276569  Acc_train:0.995556  Acc_test:1.000000
Epoch:032  Avg_loss:7.450580  Acc_train:0.996667  Acc_test:1.000000
Epoch:033  Avg_loss:1.117557  Acc_train:0.994444  Acc_test:1.000000
Epoch:034  Avg_loss:1.423120  Acc_train:0.997778  Acc_test:1.000000
Epoch:035  Avg_loss:7.064156  Acc_train:0.995556  Acc_test:1.000000
Epoch:036  Avg_loss:1.169687  Acc_train:0.995556  Acc_test:1.000000
Epoch:037  Avg_loss:3.684242  Acc_train:0.994444  Acc_test:1.000000
Epoch:038  Avg_loss:6.288156  Acc_train:0.994444  Acc_test:1.000000
Epoch:039  Avg_loss:1.01e-16  Acc_train:0.994444  Acc_test:1.000000
Epoch:040  Avg_loss:0.000119  Acc_train:0.995556  Acc_test:1.000000
Epoch:041  Avg_loss:2.693840  Acc_train:0.995556  Acc_test:1.000000
Epoch:042  Avg_loss:1.992129  Acc_train:0.995556  Acc_test:1.000000
Epoch:043  Avg_loss:1.028178  Acc_train:0.996667  Acc_test:1.000000
Epoch:044  Avg_loss:1.434919  Acc_train:0.994444  Acc_test:1.000000
Epoch:045  Avg_loss:1.490115  Acc_train:0.996667  Acc_test:1.000000
Epoch:046  Avg_loss:8.920480  Acc_train:0.996667  Acc_test:1.000000
Epoch:047  Avg_loss:5.074414  Acc_train:0.997778  Acc_test:1.000000
Epoch:048  Avg_loss:8.037948  Acc_train:0.997778  Acc_test:1.000000
Epoch:049  Avg_loss:1.490117  Acc_train:0.996667  Acc_test:1.000000
Epoch:050  Avg_loss:0.003163  Acc_train:0.996667  Acc_test:1.000000
