Epoch:001  Avg_loss:0.039318  Acc_train:0.653333  Acc_test:0.690000
Epoch:002  Avg_loss:0.006222  Acc_train:0.841111  Acc_test:0.860000
Epoch:003  Avg_loss:0.001254  Acc_train:0.878889  Acc_test:0.910000
Epoch:004  Avg_loss:3.136173  Acc_train:0.878889  Acc_test:0.910000
Epoch:005  Avg_loss:0.006530  Acc_train:0.986667  Acc_test:0.990000
Epoch:006  Avg_loss:0.008974  Acc_train:0.964444  Acc_test:0.990000
Epoch:007  Avg_loss:0.001159  Acc_train:0.990000  Acc_test:0.990000
Epoch:008  Avg_loss:1.841497  Acc_train:0.985556  Acc_test:0.990000
Epoch:009  Avg_loss:5.513422  Acc_train:0.988889  Acc_test:0.990000
Epoch:010  Avg_loss:4.130129  Acc_train:0.992222  Acc_test:0.990000
Epoch:011  Avg_loss:6.758968  Acc_train:0.993333  Acc_test:0.990000
Epoch:012  Avg_loss:4.445150  Acc_train:0.986667  Acc_test:0.990000
Epoch:013  Avg_loss:7.748580  Acc_train:0.993333  Acc_test:0.990000
Epoch:014  Avg_loss:0.000194  Acc_train:0.983333  Acc_test:0.980000
Epoch:015  Avg_loss:0.000985  Acc_train:0.994444  Acc_test:0.990000
Epoch:016  Avg_loss:2.652395  Acc_train:0.993333  Acc_test:0.990000
Epoch:017  Avg_loss:2.970724  Acc_train:0.995556  Acc_test:0.990000
Epoch:018  Avg_loss:7.152548  Acc_train:0.996667  Acc_test:0.990000
Epoch:019  Avg_loss:8.106005  Acc_train:0.996667  Acc_test:0.990000
Epoch:020  Avg_loss:3.209566  Acc_train:0.993333  Acc_test:1.000000
Epoch:021  Avg_loss:0.000101  Acc_train:0.997778  Acc_test:0.990000
Epoch:022  Avg_loss:9.763189  Acc_train:0.994444  Acc_test:0.990000
Epoch:023  Avg_loss:1.01e-16  Acc_train:0.997778  Acc_test:0.990000
Epoch:024  Avg_loss:7.450571  Acc_train:0.993333  Acc_test:1.000000
Epoch:025  Avg_loss:4.470341  Acc_train:0.996667  Acc_test:0.990000
Epoch:026  Avg_loss:3.239871  Acc_train:0.996667  Acc_test:0.990000
Epoch:027  Avg_loss:0.000286  Acc_train:0.996667  Acc_test:0.990000
Epoch:028  Avg_loss:0.000251  Acc_train:0.997778  Acc_test:0.990000
Epoch:029  Avg_loss:0.000131  Acc_train:0.997778  Acc_test:0.990000
Epoch:030  Avg_loss:7.329459  Acc_train:0.997778  Acc_test:0.990000
Epoch:031  Avg_loss:1.380585  Acc_train:0.997778  Acc_test:0.990000
Epoch:032  Avg_loss:3.224412  Acc_train:0.997778  Acc_test:0.990000
Epoch:033  Avg_loss:0.000698  Acc_train:0.995556  Acc_test:1.000000
Epoch:034  Avg_loss:3.820227  Acc_train:0.998889  Acc_test:0.990000
Epoch:035  Avg_loss:3.362770  Acc_train:0.997778  Acc_test:0.990000
Epoch:036  Avg_loss:6.884184  Acc_train:0.996667  Acc_test:1.000000
Epoch:037  Avg_loss:5.513420  Acc_train:0.997778  Acc_test:0.990000
Epoch:038  Avg_loss:1.304733  Acc_train:0.997778  Acc_test:0.990000
Epoch:039  Avg_loss:2.756693  Acc_train:0.997778  Acc_test:0.990000
Epoch:040  Avg_loss:6.697061  Acc_train:0.997778  Acc_test:0.990000
Epoch:041  Avg_loss:4.062897  Acc_train:0.997778  Acc_test:0.990000
Epoch:042  Avg_loss:0.000108  Acc_train:0.997778  Acc_test:0.990000
Epoch:043  Avg_loss:1.583935  Acc_train:0.997778  Acc_test:0.990000
Epoch:044  Avg_loss:3.115476  Acc_train:0.998889  Acc_test:0.990000
Epoch:045  Avg_loss:3.010019  Acc_train:0.998889  Acc_test:0.990000
Epoch:046  Avg_loss:2.455496  Acc_train:0.998889  Acc_test:0.990000
Epoch:047  Avg_loss:0.000278  Acc_train:0.997778  Acc_test:0.990000
Epoch:048  Avg_loss:7.301421  Acc_train:0.998889  Acc_test:0.990000
Epoch:049  Avg_loss:3.729277  Acc_train:0.997778  Acc_test:0.990000
Epoch:050  Avg_loss:8.662118  Acc_train:0.997778  Acc_test:0.990000
