Epoch:001  Avg_loss:0.042632  Acc_train:0.533333  Acc_test:0.580000
Epoch:002  Avg_loss:0.000180  Acc_train:0.945556  Acc_test:0.930000
Epoch:003  Avg_loss:0.000180  Acc_train:0.983333  Acc_test:0.990000
Epoch:004  Avg_loss:0.053363  Acc_train:0.901111  Acc_test:0.890000
Epoch:005  Avg_loss:2.534054  Acc_train:0.983333  Acc_test:1.000000
Epoch:006  Avg_loss:1.688228  Acc_train:0.962222  Acc_test:0.980000
Epoch:007  Avg_loss:1.490117  Acc_train:0.990000  Acc_test:1.000000
Epoch:008  Avg_loss:5.751763  Acc_train:0.992222  Acc_test:0.990000
Epoch:009  Avg_loss:1.01e-16  Acc_train:0.965556  Acc_test:0.940000
Epoch:010  Avg_loss:9.963232  Acc_train:0.982222  Acc_test:1.000000
Epoch:011  Avg_loss:3.486475  Acc_train:0.993333  Acc_test:1.000000
Epoch:012  Avg_loss:2.980232  Acc_train:0.984444  Acc_test:1.000000
Epoch:013  Avg_loss:1.01e-16  Acc_train:0.993333  Acc_test:1.000000
Epoch:014  Avg_loss:5.662434  Acc_train:0.983333  Acc_test:1.000000
Epoch:015  Avg_loss:1.01e-16  Acc_train:0.993333  Acc_test:1.000000
Epoch:016  Avg_loss:0.001154  Acc_train:0.993333  Acc_test:1.000000
Epoch:017  Avg_loss:1.01e-16  Acc_train:0.994444  Acc_test:1.000000
Epoch:018  Avg_loss:1.834222  Acc_train:0.994444  Acc_test:1.000000
Epoch:019  Avg_loss:4.872588  Acc_train:0.994444  Acc_test:1.000000
Epoch:020  Avg_loss:1.504926  Acc_train:0.994444  Acc_test:1.000000
Epoch:021  Avg_loss:0.001755  Acc_train:0.994444  Acc_test:1.000000
Epoch:022  Avg_loss:1.490117  Acc_train:0.987778  Acc_test:0.980000
Epoch:023  Avg_loss:2.459713  Acc_train:0.976667  Acc_test:0.990000
Epoch:024  Avg_loss:1.01e-16  Acc_train:0.994444  Acc_test:1.000000
Epoch:025  Avg_loss:2.478203  Acc_train:0.994444  Acc_test:1.000000
Epoch:026  Avg_loss:3.486826  Acc_train:0.995556  Acc_test:1.000000
Epoch:027  Avg_loss:2.384183  Acc_train:0.995556  Acc_test:1.000000
Epoch:028  Avg_loss:2.169859  Acc_train:0.995556  Acc_test:1.000000
Epoch:029  Avg_loss:5.811326  Acc_train:0.994444  Acc_test:1.000000
Epoch:030  Avg_loss:3.058007  Acc_train:0.995556  Acc_test:1.000000
Epoch:031  Avg_loss:0.001565  Acc_train:0.994444  Acc_test:1.000000
Epoch:032  Avg_loss:2.160650  Acc_train:0.995556  Acc_test:1.000000
Epoch:033  Avg_loss:1.905706  Acc_train:0.995556  Acc_test:1.000000
Epoch:034  Avg_loss:1.490117  Acc_train:0.995556  Acc_test:1.000000
Epoch:035  Avg_loss:3.742159  Acc_train:0.995556  Acc_test:1.000000
Epoch:036  Avg_loss:1.01e-16  Acc_train:0.995556  Acc_test:1.000000
Epoch:037  Avg_loss:4.470348  Acc_train:0.995556  Acc_test:1.000000
Epoch:038  Avg_loss:1.916905  Acc_train:0.995556  Acc_test:1.000000
Epoch:039  Avg_loss:3.695433  Acc_train:0.996667  Acc_test:1.000000
Epoch:040  Avg_loss:2.125654  Acc_train:0.996667  Acc_test:1.000000
Epoch:041  Avg_loss:1.206990  Acc_train:0.996667  Acc_test:1.000000
Epoch:042  Avg_loss:1.01e-16  Acc_train:0.996667  Acc_test:1.000000
Epoch:043  Avg_loss:1.260574  Acc_train:0.996667  Acc_test:1.000000
Epoch:044  Avg_loss:1.341098  Acc_train:0.996667  Acc_test:1.000000
Epoch:045  Avg_loss:5.108583  Acc_train:0.996667  Acc_test:1.000000
Epoch:046  Avg_loss:9.461879  Acc_train:0.996667  Acc_test:1.000000
Epoch:047  Avg_loss:6.779892  Acc_train:0.996667  Acc_test:1.000000
Epoch:048  Avg_loss:4.740653  Acc_train:0.996667  Acc_test:1.000000
Epoch:049  Avg_loss:2.980232  Acc_train:0.996667  Acc_test:1.000000
Epoch:050  Avg_loss:1.035804  Acc_train:0.996667  Acc_test:1.000000
